policy_id,product_type,region,client_age,risk_score,start_date,end_date,duration_months,premium
P001084,Auto,West,63,60.58,2022-01-16,2023-01-11,12,1348.82
P001085,Auto,North,62,53.53,2021-08-04,2022-07-30,12,1063.14
P001086,Home,South,41,50.85,2021-04-26,2022-04-21,12,1387.16
P001087,Life,Central,29,73.38,2019-04-22,2020-04-16,12,756.67
P001088,Auto,South,59,59.93,2020-01-20,2020-07-18,6,549.33
P001089,Life,Central,24,39.64,2021-11-27,2022-11-22,12,490.92
P001090,Auto,Central,74,48.71,2021-01-10,2021-07-09,6,434.23
P001091,Home,South,45,48.86,2022-06-29,2023-06-24,12,1789.75
P001092,Life,East,29,51.2,2021-10-17,2022-10-12,12,653.19
P001093,Auto,West,26,87.87,2022-07-04,2023-06-29,12,1333.27
P001094,Home,North,25,55.56,2021-06-24,2022-06-19,12,1730.74
P001095,Auto,North,47,19.46,2019-04-16,2019-10-13,6,279.43
P001096,Life,North,44,41.86,2020-02-21,2020-08-19,6,251.07
P001097,Auto,South,26,21.01,2020-06-30,2020-12-27,6,299.88
P001098,Life,South,39,45.05,2022-01-29,2022-07-28,6,342.57
P001099,Auto,East,24,20.19,2019-09-26,2020-09-20,12,626.04
P001100,Life,North,53,36.93,2020-08-12,2021-08-07,12,398.3
P001101,Auto,East,44,27.19,2021-06-16,2021-12-13,6,407.08
P001102,Life,North,39,55.76,2022-12-01,2023-11-26,12,647.73
P001103,Auto,South,25,50.01,2021-09-19,2022-09-14,12,815.16
P001104,Health,West,40,54.54,2019-09-06,2020-08-31,12,2552.72
P001105,Auto,West,38,48.43,2019-03-01,2020-02-24,12,1032.28
P001106,Auto,West,49,29.09,2022-07-14,2023-01-10,6,389.67
P001107,Home,West,47,57.7,2022-05-31,2023-05-26,12,1933.29
P001108,Auto,Central,56,78.83,2020-05-05,2021-04-30,12,1231.18
P001109,Auto,North,37,56.14,2022-12-24,2023-12-19,12,1078.7
P001110,Health,West,18,43.61,2019-11-21,2020-05-19,6,1073.41
P001111,Health,Central,59,28.58,2020-09-28,2021-09-23,12,1570.95
P001112,Auto,Central,30,36.38,2022-02-02,2022-08-01,6,455.32
P001113,Health,Central,28,56.8,2019-01-29,2019-07-28,6,1414.63
P001114,Home,East,44,66.1,2022-02-05,2023-01-31,12,1840.57
P001115,Auto,East,49,53.91,2021-04-15,2022-04-10,12,1091.6
P001116,Life,Central,37,62.0,2019-07-10,2020-07-04,12,665.99
P001117,Home,West,36,60.62,2020-04-05,2020-10-02,6,760.54
P001118,Health,North,39,57.6,2019-08-21,2020-08-15,12,2738.27
P001119,Auto,South,66,40.12,2021-08-03,2022-01-30,6,491.9
P001120,Home,East,44,52.61,2019-08-29,2020-02-25,6,897.87
P001121,Auto,West,30,37.27,2022-08-19,2023-08-14,12,914.63
P001122,Auto,West,30,50.26,2019-11-12,2020-11-06,12,1006.05
P001123,Auto,South,41,54.96,2021-10-17,2022-10-12,12,1088.1
P001124,Health,South,48,75.18,2020-08-20,2021-08-15,12,3259.17
P001125,Life,West,52,30.35,2021-11-08,2022-11-03,12,428.62
P001126,Life,South,46,57.22,2022-12-15,2023-12-10,12,680.82
P001127,Home,West,32,72.22,2020-07-13,2021-01-09,6,823.17
P001128,Auto,South,38,61.38,2021-04-30,2022-04-25,12,1122.46
P001129,Auto,South,56,62.49,2021-09-15,2022-09-10,12,1338.01
P001130,Auto,West,27,58.82,2021-08-25,2022-02-21,6,598.42
P001131,Auto,Central,38,69.48,2020-05-14,2021-05-09,12,1119.87
P001132,Life,West,53,33.69,2021-07-24,2022-07-19,12,499.03
P001133,Home,North,58,29.21,2022-02-02,2022-08-01,6,515.92
P001134,Auto,South,42,49.9,2019-10-24,2020-04-21,6,496.28
P001135,Auto,East,38,17.58,2021-02-24,2022-02-19,12,674.57
P001136,Auto,South,25,68.46,2020-01-26,2020-07-24,6,650.64
P001137,Home,North,52,68.31,2022-05-12,2023-05-07,12,2284.07
P001138,Health,East,64,43.5,2021-11-06,2022-11-01,12,2579.87
P001139,Home,East,83,44.44,2019-10-07,2020-10-01,12,1428.48
P001140,Life,West,50,48.91,2019-05-23,2020-05-17,12,658.59
P001141,Home,Central,44,50.78,2020-07-19,2021-07-14,12,1483.39
P001142,Auto,West,31,51.91,2021-04-29,2022-04-24,12,907.59
P001143,Auto,East,18,58.37,2020-11-27,2021-11-22,12,1244.13
P001144,Life,East,47,47.41,2021-11-05,2022-10-31,12,666.68
P001145,Life,Central,80,64.15,2020-07-01,2020-12-28,6,356.75
P001146,Auto,South,64,56.69,2019-01-06,2020-01-01,12,1109.87
P001147,Home,Central,61,40.9,2020-08-02,2021-07-28,12,1502.01
P001148,Home,West,48,70.03,2020-09-03,2021-08-29,12,2018.01
P001149,Home,South,50,29.63,2022-04-17,2023-04-12,12,967.52
P001150,Health,West,18,48.62,2022-04-02,2023-03-28,12,2518.5
P001151,Home,Central,56,64.5,2022-09-13,2023-09-08,12,1731.48
P001152,Home,South,36,39.15,2021-09-29,2022-09-24,12,1449.91
P001153,Auto,Central,34,54.64,2019-11-01,2020-10-26,12,1164.53
P001154,Auto,North,40,58.15,2021-07-03,2022-06-28,12,1242.56
P001155,Auto,East,39,37.09,2022-01-08,2023-01-03,12,750.61
P001156,Auto,South,34,48.91,2021-09-18,2022-09-13,12,909.53
P001157,Life,East,45,47.65,2020-12-07,2021-06-05,6,337.52
P001158,Life,North,36,41.72,2020-11-11,2021-11-06,12,529.6
P001159,Auto,South,46,84.53,2022-02-04,2023-01-30,12,1199.17
P001160,Life,East,22,38.55,2022-01-17,2022-07-16,6,283.92
P001161,Auto,East,41,65.07,2021-02-11,2022-02-06,12,1116.22
P001162,Auto,South,28,44.11,2021-07-21,2022-01-17,6,547.82
P001163,Auto,East,35,33.7,2020-10-21,2021-10-16,12,828.23
P001164,Auto,East,47,51.54,2020-01-22,2021-01-16,12,1034.8
P001165,Auto,South,20,59.74,2022-11-29,2023-05-28,6,537.82
P001166,Home,East,32,63.81,2020-05-04,2021-04-29,12,2026.75
P001167,Home,East,53,73.43,2022-03-17,2023-03-12,12,1990.64
P001168,Health,West,23,94.18,2021-02-23,2022-02-18,12,3669.13
P001169,Auto,West,71,53.76,2020-04-23,2020-10-20,6,481.06
P001170,Auto,North,63,40.05,2021-04-21,2021-10-18,6,437.06
P001171,Auto,West,37,56.79,2019-03-31,2020-03-25,12,975.75
P001172,Home,West,33,46.01,2020-10-13,2021-10-08,12,1575.12
P001173,Auto,North,48,63.89,2021-08-26,2022-08-21,12,955.7
P001174,Life,East,23,30.54,2022-12-15,2023-06-13,6,236.18
P001175,Home,East,18,85.53,2021-02-19,2022-02-14,12,2270.08
P001176,Home,West,38,62.84,2021-03-01,2022-02-24,12,1790.34
P001177,Home,North,42,24.74,2022-09-21,2023-09-16,12,970.34
P001178,Auto,East,46,39.36,2022-08-28,2023-02-24,6,464.96
P001179,Auto,Central,35,62.24,2019-11-08,2020-11-02,12,1045.26
P001180,Auto,South,64,67.65,2021-10-11,2022-10-06,12,1209.09
P001181,Home,South,22,30.92,2019-03-17,2020-03-11,12,1231.95
P001182,Auto,South,27,60.7,2019-09-16,2020-09-10,12,1180.64
P001183,Auto,West,52,20.79,2021-10-25,2022-10-20,12,605.64
P001184,Health,South,27,48.66,2022-04-23,2023-04-18,12,2754.36
P001185,Auto,South,26,66.68,2020-11-10,2021-05-09,6,605.28
P001186,Life,Central,46,41.73,2019-07-25,2020-07-19,12,604.8
P001187,Life,East,29,27.4,2021-06-20,2022-06-15,12,525.15
P001188,Auto,Central,43,52.19,2019-07-24,2020-01-20,6,570.48
P001189,Auto,West,34,40.93,2021-12-13,2022-12-08,12,990.98
P001190,Auto,South,32,59.44,2021-07-24,2022-07-19,12,1134.73
P001191,Home,East,18,36.72,2019-02-01,2019-07-31,6,680.54
P001192,Home,South,47,38.41,2019-10-23,2020-10-17,12,1318.96
P001193,Life,South,26,19.68,2021-04-19,2022-04-14,12,349.52
P001194,Health,West,42,52.55,2022-09-02,2023-08-28,12,2654.5
P001195,Home,South,37,47.59,2019-11-13,2020-05-11,6,746.98
P001196,Auto,North,41,32.17,2019-06-03,2020-05-28,12,831.92
P001197,Auto,East,42,52.91,2021-08-19,2022-08-14,12,1021.67
P001198,Life,East,47,65.41,2020-06-26,2021-06-21,12,684.18
P001199,Auto,North,34,46.77,2020-11-24,2021-11-19,12,1024.35
P001200,Auto,West,63,54.02,2022-06-30,2022-12-27,6,455.29
P001201,Life,South,18,54.1,2022-11-19,2023-11-14,12,751.41
P001202,Home,South,41,31.94,2021-03-25,2021-09-21,6,573.87
P001203,Health,East,57,80.85,2022-08-23,2023-02-19,6,1754.8
P001204,Home,West,52,42.94,2019-06-14,2020-06-08,12,1449.61
P001205,Auto,West,30,59.84,2020-11-03,2021-10-29,12,1184.12
P001206,Health,West,32,61.54,2022-10-13,2023-10-08,12,2445.17
P001207,Auto,South,29,47.91,2021-12-28,2022-12-23,12,1055.26
P001208,Auto,West,53,59.1,2021-02-17,2022-02-12,12,1142.83
P001209,Home,North,33,53.69,2020-10-10,2021-04-08,6,733.46
P001210,Auto,Central,48,28.74,2022-07-07,2023-07-02,12,689.04
P001211,Home,West,48,45.02,2021-09-26,2022-09-21,12,1363.25
P001212,Auto,Central,80,40.81,2022-01-13,2023-01-08,12,774.17
P001213,Home,South,49,43.07,2019-03-15,2019-09-11,6,806.06
P001214,Auto,West,32,30.44,2022-06-18,2023-06-13,12,879.01
P001215,Life,East,23,66.9,2019-05-21,2020-05-15,12,785.71
P001216,Life,South,40,74.03,2020-04-25,2020-10-22,6,393.62
P001217,Auto,North,43,64.67,2022-07-16,2023-01-12,6,576.43
P001218,Auto,North,18,69.06,2022-11-02,2023-10-28,12,1321.87
P001219,Auto,Central,34,44.83,2020-08-11,2021-08-06,12,1102.84
P001220,Auto,Central,49,40.46,2020-04-10,2020-10-07,6,417.51
P001221,Life,East,37,38.32,2019-07-05,2020-06-29,12,477.34
P001222,Life,East,59,59.66,2021-06-07,2021-12-04,6,402.7
P001223,Auto,North,21,53.41,2019-07-21,2020-07-15,12,854.89
P001224,Auto,West,55,48.84,2022-07-21,2023-07-16,12,886.63
P001225,Auto,North,58,69.43,2022-12-12,2023-12-07,12,1202.72
P001226,Home,North,59,56.07,2019-07-25,2020-07-19,12,1358.15
P001227,Auto,East,21,37.42,2021-06-27,2022-06-22,12,943.47
P001228,Health,Central,49,39.79,2019-12-07,2020-06-04,6,1190.84
P001229,Life,East,34,60.23,2022-11-22,2023-11-17,12,661.39
P001230,Auto,East,23,65.63,2020-09-05,2021-08-31,12,1339.52
P001231,Home,East,38,58.28,2019-03-01,2020-02-24,12,1888.03
P001232,Health,North,31,78.45,2019-04-05,2019-10-02,6,1657.77
P001233,Home,West,58,74.53,2020-10-26,2021-04-24,6,927.02
P001234,Auto,North,52,56.62,2019-04-25,2019-10-22,6,661.68
P001235,Auto,South,27,37.42,2020-08-23,2021-08-18,12,910.27
P001236,Life,East,34,30.35,2021-01-04,2021-12-30,12,489.87
P001237,Home,East,39,44.19,2021-02-06,2022-02-01,12,1585.69
P001238,Home,South,43,61.3,2021-06-01,2022-05-27,12,1754.83
P001239,Life,East,60,77.4,2019-10-26,2020-10-20,12,788.51
P001240,Life,East,55,56.26,2020-05-15,2020-11-11,6,338.67
P001241,Health,East,45,67.53,2021-12-23,2022-12-18,12,3340.19
P001242,Auto,South,41,46.32,2021-04-23,2022-04-18,12,765.42
P001243,Home,North,18,59.34,2022-03-05,2023-02-28,12,1620.07
P001244,Life,East,64,62.35,2022-10-28,2023-10-23,12,816.88
P001245,Life,West,38,20.31,2020-01-04,2020-12-29,12,381.73
P001246,Home,South,68,43.8,2019-12-15,2020-12-09,12,1603.06
P001247,Auto,Central,47,64.25,2019-12-25,2020-06-22,6,668.33
P001248,Life,South,75,54.12,2019-06-11,2019-12-08,6,325.8
P001249,Life,North,54,32.05,2022-06-02,2023-05-28,12,462.5
P001250,Auto,South,23,13.55,2021-02-22,2022-02-17,12,546.43
P001251,Home,Central,35,44.51,2022-06-23,2023-06-18,12,1774.54
P001252,Auto,West,42,48.93,2022-10-31,2023-10-26,12,1172.2
P001253,Auto,Central,31,36.74,2020-05-08,2020-11-04,6,425.71
P001254,Auto,South,39,52.15,2021-10-16,2022-04-14,6,481.71
P001255,Home,Central,24,57.6,2022-04-09,2023-04-04,12,1655.96
P001256,Home,South,45,60.06,2019-10-21,2020-10-15,12,1722.07
P001257,Home,West,48,14.66,2020-04-20,2020-10-17,6,378.23
P001258,Home,West,29,30.29,2021-08-02,2022-07-28,12,1154.39
P001259,Life,North,74,45.43,2022-07-30,2023-01-26,6,334.42
P001260,Auto,West,45,58.58,2020-06-04,2021-05-30,12,904.5
P001261,Auto,East,32,57.34,2021-07-30,2022-01-26,6,589.01
P001262,Life,Central,20,57.08,2020-06-06,2021-06-01,12,771.33
P001263,Auto,Central,45,44.25,2022-09-27,2023-09-22,12,878.81
P001264,Health,South,41,45.09,2019-01-20,2020-01-15,12,2751.29
P001265,Life,West,56,39.08,2021-08-10,2022-02-06,6,252.8
P001266,Home,North,42,61.52,2020-08-12,2021-02-08,6,891.33
P001267,Health,North,27,36.19,2022-10-19,2023-10-14,12,2021.72
P001268,Auto,North,70,62.75,2022-01-24,2023-01-19,12,1117.6
P001269,Auto,East,51,53.12,2019-11-20,2020-11-14,12,973.4
P001270,Home,West,41,49.32,2019-06-01,2019-11-28,6,795.85
P001271,Auto,North,47,40.15,2021-06-23,2022-06-18,12,956.65
P001272,Health,East,52,29.67,2020-12-08,2021-12-03,12,1877.92
P001273,Auto,Central,23,40.29,2022-04-18,2023-04-13,12,763.33
P001274,Home,South,47,45.05,2020-09-04,2021-03-03,6,733.89
P001275,Home,West,38,14.46,2022-08-01,2023-07-27,12,896.59
P001276,Home,West,52,47.04,2021-05-18,2021-11-14,6,707.68
P001277,Auto,Central,33,63.87,2022-11-14,2023-05-13,6,692.12
P001278,Auto,West,35,58.51,2020-05-27,2021-05-22,12,929.76
P001279,Life,West,69,42.56,2021-07-24,2022-01-20,6,221.5
P001280,Auto,West,63,50.7,2020-09-10,2021-09-05,12,934.7
P001281,Life,West,18,41.66,2020-02-12,2021-02-06,12,602.41
P001282,Home,East,62,52.23,2021-02-26,2022-02-21,12,1377.53
P001283,Life,East,43,73.1,2021-09-16,2022-09-11,12,719.94
P001284,Life,South,34,64.53,2019-08-07,2020-02-03,6,401.89
P001285,Auto,West,29,57.81,2020-04-30,2021-04-25,12,1144.31
P001286,Home,Central,30,42.61,2021-02-20,2022-02-15,12,1418.52
P001287,Life,North,34,61.25,2022-03-17,2022-09-13,6,382.4
P001288,Home,South,28,24.7,2021-01-05,2021-12-31,12,1000.18
P001289,Health,North,24,46.21,2022-03-23,2022-09-19,6,1147.93
P001290,Home,North,29,58.76,2020-08-28,2021-02-24,6,895.96
P001291,Auto,West,49,61.11,2022-12-03,2023-11-28,12,980.9
P001292,Auto,Central,45,60.05,2020-08-27,2021-02-23,6,440.24
P001293,Health,North,53,54.42,2019-02-14,2020-02-09,12,2518.53
P001294,Auto,North,44,47.06,2022-09-10,2023-09-05,12,1054.52
P001295,Life,South,25,58.07,2021-03-21,2022-03-16,12,703.04
P001296,Life,Central,52,35.71,2020-07-16,2021-01-12,6,281.11
P001297,Auto,Central,29,37.33,2019-01-17,2019-07-16,6,338.49
P001298,Auto,North,54,50.93,2022-03-05,2022-09-01,6,521.53
P001299,Life,Central,27,52.6,2022-11-05,2023-10-31,12,686.64
P001300,Auto,South,34,22.62,2019-04-11,2020-04-05,12,580.74
P001301,Life,South,39,56.83,2022-05-26,2022-11-22,6,367.26
P001302,Home,South,55,61.59,2021-10-14,2022-10-09,12,1689.57
P001303,Home,West,47,48.84,2020-08-09,2021-02-05,6,966.7
P001304,Life,North,45,85.62,2020-04-16,2021-04-11,12,697.91
P001305,Auto,Central,73,39.76,2022-05-28,2023-05-23,12,997.21
P001306,Home,South,18,44.58,2020-12-22,2021-12-17,12,1347.16
P001307,Auto,North,29,44.07,2020-03-24,2021-03-19,12,778.63
P001308,Auto,North,28,48.86,2022-07-27,2023-07-22,12,934.35
P001309,Home,West,18,45.07,2020-01-25,2021-01-19,12,1450.42
P001310,Life,Central,34,28.9,2022-06-25,2023-06-20,12,515.17
P001311,Auto,Central,55,41.8,2020-05-28,2020-11-24,6,528.43
P001312,Home,South,36,48.54,2022-10-20,2023-10-15,12,1683.27
P001313,Home,South,40,68.43,2022-09-12,2023-09-07,12,1654.91
P001314,Auto,North,19,83.03,2022-10-26,2023-10-21,12,1554.17
P001315,Auto,Central,33,70.03,2019-10-08,2020-10-02,12,1288.89
P001316,Health,Central,38,38.37,2022-07-10,2023-07-05,12,2010.29
P001317,Life,South,54,39.56,2019-07-18,2020-07-12,12,535.11
P001318,Home,East,19,47.61,2022-07-09,2023-07-04,12,1353.56
P001319,Home,North,38,76.77,2022-08-16,2023-02-12,6,994.61
P001320,Auto,Central,61,47.52,2019-03-22,2019-09-18,6,449.72
P001321,Home,West,38,30.09,2020-09-24,2021-03-23,6,512.13
P001322,Home,West,18,42.48,2021-06-21,2021-12-18,6,715.01
P001323,Home,East,64,61.36,2019-03-10,2020-03-04,12,1811.65
P001324,Auto,South,56,60.35,2022-04-01,2022-09-28,6,551.56
P001325,Auto,South,58,47.0,2021-01-17,2022-01-12,12,1095.84
P001326,Auto,South,18,60.25,2019-09-27,2020-09-21,12,1093.75
P001327,Health,West,67,15.9,2019-07-04,2019-12-31,6,716.14
P001328,Home,South,33,51.56,2020-08-27,2021-08-22,12,1629.01
P001329,Home,West,37,62.91,2020-10-31,2021-10-26,12,1709.44
P001330,Auto,East,34,37.51,2021-04-30,2022-04-25,12,857.33
P001331,Auto,North,59,37.45,2019-12-26,2020-12-20,12,635.31
P001332,Life,Central,42,22.0,2020-02-16,2021-02-10,12,415.69
P001333,Home,East,52,73.85,2019-09-28,2020-03-26,6,788.39
P001334,Home,West,46,39.2,2022-01-09,2023-01-04,12,1146.19
P001335,Auto,East,43,53.62,2021-01-19,2022-01-14,12,904.11
P001336,Life,Central,30,59.06,2021-12-23,2022-12-18,12,620.7
P001337,Auto,North,72,72.68,2021-10-24,2022-04-22,6,601.17
P001338,Auto,Central,23,47.69,2020-07-12,2021-07-07,12,924.98
P001339,Home,West,51,41.91,2019-12-03,2020-05-31,6,722.17
P001340,Auto,Central,50,52.6,2020-06-10,2020-12-07,6,527.07
P001341,Auto,East,62,69.26,2021-09-13,2022-03-12,6,498.54
P001342,Home,South,65,47.45,2020-08-27,2021-08-22,12,1466.21
P001343,Home,East,42,35.68,2020-11-24,2021-11-19,12,1281.77
P001344,Life,West,52,26.89,2019-08-24,2020-08-18,12,436.83
P001345,Home,North,71,31.68,2021-08-17,2022-08-12,12,1163.11
P001346,Auto,Central,44,62.97,2019-06-04,2020-05-29,12,1177.63
P001347,Auto,North,29,45.19,2019-10-16,2020-10-10,12,1014.33
P001348,Health,West,39,40.89,2020-04-07,2021-04-02,12,1876.02
P001349,Home,Central,25,39.26,2022-10-17,2023-10-12,12,1274.76
P001350,Life,East,50,51.28,2022-10-13,2023-04-11,6,365.16
P001351,Auto,East,60,46.41,2021-03-24,2022-03-19,12,1092.48
P001352,Home,West,43,45.9,2022-02-15,2023-02-10,12,1547.56
P001353,Auto,Central,20,70.24,2021-01-19,2022-01-14,12,1309.6
P001354,Home,East,60,73.07,2019-07-04,2020-06-28,12,2232.17
P001355,Health,West,18,25.85,2021-03-19,2022-03-14,12,2116.01
P001356,Health,West,21,54.91,2019-01-29,2020-01-24,12,2613.13
P001357,Home,North,42,38.35,2020-06-25,2021-06-20,12,1165.21
P001358,Home,East,48,46.28,2022-01-03,2022-12-29,12,1394.31
P001359,Health,Central,51,54.64,2019-09-11,2020-03-09,6,1728.24
P001360,Home,East,44,46.81,2021-07-20,2022-07-15,12,1216.19
P001361,Auto,East,71,53.46,2021-01-24,2022-01-19,12,992.51
P001362,Home,East,45,60.09,2022-10-09,2023-04-07,6,722.03
P001363,Auto,West,60,54.42,2022-10-08,2023-10-03,12,1066.18
P001364,Home,South,56,40.3,2020-06-20,2021-06-15,12,1166.0
P001365,Home,South,25,40.56,2022-04-12,2023-04-07,12,1315.62
P001366,Home,North,42,28.4,2021-02-19,2021-08-18,6,447.25
P001367,Auto,East,76,37.19,2022-07-31,2023-07-26,12,898.55
P001368,Auto,South,37,79.43,2021-01-30,2022-01-25,12,1518.56
P001369,Home,North,34,38.12,2019-08-10,2020-02-06,6,618.39
P001370,Life,West,47,32.1,2022-10-14,2023-04-12,6,242.06
P001371,Home,East,37,54.8,2020-04-23,2021-04-18,12,1560.48
P001372,Auto,Central,33,48.34,2021-08-23,2022-02-19,6,498.91
P001373,Health,West,37,47.07,2019-02-21,2020-02-16,12,2402.89
P001374,Health,North,66,71.14,2022-06-22,2023-06-17,12,3374.94
P001375,Auto,West,42,58.24,2022-02-23,2022-08-22,6,617.19
P001376,Auto,Central,25,42.05,2020-11-02,2021-10-28,12,830.96
P001377,Life,West,22,43.63,2022-06-03,2023-05-29,12,559.37
P001378,Life,North,78,42.46,2020-03-29,2021-03-24,12,619.7
P001379,Health,Central,41,63.12,2022-08-19,2023-08-14,12,2482.23
P001380,Life,Central,51,45.38,2019-05-10,2020-05-04,12,474.01
P001381,Home,West,33,23.1,2022-07-25,2023-01-21,6,519.39
P001382,Home,Central,49,49.28,2021-08-08,2022-08-03,12,1560.85
P001383,Auto,West,66,26.94,2022-12-06,2023-12-01,12,671.04
P001384,Auto,East,35,82.76,2020-09-10,2021-03-09,6,656.25
P001385,Home,Central,51,35.51,2022-08-22,2023-08-17,12,1144.98
P001386,Home,West,23,47.57,2021-04-16,2022-04-11,12,1330.01
P001387,Home,East,75,53.87,2019-08-27,2020-08-21,12,1678.52
P001388,Life,Central,49,45.67,2019-10-14,2020-04-11,6,261.29
P001389,Auto,East,38,45.65,2019-04-03,2020-03-28,12,922.63
P001390,Home,Central,40,56.33,2019-03-18,2020-03-12,12,1467.82
P001391,Auto,North,37,72.89,2020-09-15,2021-03-14,6,544.59
P001392,Home,North,38,61.51,2021-10-05,2022-04-03,6,927.87
P001393,Life,West,18,72.18,2019-08-26,2020-02-22,6,375.11
P001394,Home,South,43,34.3,2019-07-19,2020-07-13,12,1240.34
P001395,Health,North,42,54.76,2020-04-25,2021-04-20,12,2244.25
P001396,Auto,South,52,52.33,2022-01-05,2022-12-31,12,951.69
P001397,Home,East,37,55.27,2019-10-05,2020-09-29,12,1715.45
P001398,Auto,East,33,70.64,2021-03-06,2021-09-02,6,785.24
P001399,Home,South,44,46.69,2021-07-18,2022-07-13,12,1155.76
P001400,Life,West,20,43.92,2021-01-29,2022-01-24,12,567.75
P001401,Home,Central,47,58.01,2022-10-05,2023-04-03,6,855.98
P001402,Life,South,18,23.33,2022-11-27,2023-05-26,6,199.4
P001403,Auto,South,61,46.45,2022-01-11,2022-07-10,6,519.37
P001404,Life,South,55,47.99,2021-05-08,2022-05-03,12,557.06
P001405,Auto,South,31,36.19,2022-04-17,2023-04-12,12,847.12
P001406,Life,South,54,65.86,2019-11-13,2020-11-07,12,705.11
P001407,Auto,West,46,34.07,2021-04-29,2022-04-24,12,907.47
P001408,Auto,North,29,47.96,2022-09-03,2023-08-29,12,909.54
P001409,Home,Central,18,54.4,2019-07-22,2020-07-16,12,1523.63
P001410,Health,North,49,70.3,2021-09-29,2022-09-24,12,3403.01
P001411,Auto,South,33,49.84,2022-06-14,2022-12-11,6,447.74
P001412,Auto,North,61,64.04,2021-04-15,2021-10-12,6,588.26
P001413,Life,West,45,60.51,2020-07-26,2021-01-22,6,287.78
P001414,Auto,East,34,51.85,2019-03-09,2019-09-05,6,455.5
P001415,Auto,North,71,33.66,2022-11-14,2023-11-09,12,834.64
P001416,Home,Central,53,28.48,2021-01-28,2022-01-23,12,1002.41
P001417,Auto,West,18,51.6,2020-03-20,2020-09-16,6,481.85
P001418,Health,East,37,41.86,2021-06-27,2021-12-24,6,1183.52
P001419,Life,West,24,63.79,2021-06-29,2022-06-24,12,686.24
P001420,Home,South,33,61.19,2020-04-28,2021-04-23,12,1841.42
P001421,Health,East,42,47.23,2021-01-12,2022-01-07,12,2469.02
P001422,Home,Central,50,32.63,2019-07-23,2020-07-17,12,1239.07
P001423,Auto,East,48,57.66,2022-11-05,2023-05-04,6,613.71
P001424,Auto,Central,61,34.73,2021-01-22,2021-07-21,6,421.44
P001425,Home,South,54,38.62,2022-01-20,2023-01-15,12,1494.47
P001426,Auto,Central,53,35.31,2022-08-13,2023-08-08,12,898.78
P001427,Health,West,48,47.92,2021-01-04,2021-07-03,6,1155.0
P001428,Life,North,64,67.55,2019-05-05,2020-04-29,12,854.47
P001429,Auto,West,40,49.92,2021-03-26,2022-03-21,12,1025.4
P001430,Home,West,40,43.35,2020-07-19,2021-07-14,12,1325.82
P001431,Life,East,18,27.12,2020-01-24,2021-01-18,12,466.02
P001432,Health,South,60,58.28,2019-09-08,2020-09-02,12,3054.11
P001433,Life,North,43,38.29,2021-07-20,2022-07-15,12,561.62
P001434,Home,Central,89,51.76,2019-07-07,2020-07-01,12,1810.81
P001435,Life,East,38,44.69,2022-09-19,2023-03-18,6,324.38
P001436,Home,South,46,62.57,2020-03-10,2020-09-06,6,908.29
P001437,Home,North,53,47.64,2022-08-07,2023-08-02,12,1307.97
P001438,Auto,West,28,49.12,2022-08-02,2023-07-28,12,971.66
P001439,Auto,South,50,57.29,2022-05-07,2022-11-03,6,547.64
P001440,Home,South,45,81.6,2019-02-13,2020-02-08,12,2212.92
P001441,Auto,South,40,63.33,2019-04-14,2020-04-08,12,1233.89
P001442,Auto,West,62,48.67,2020-11-14,2021-05-13,6,500.36
P001443,Life,Central,31,50.05,2020-05-13,2021-05-08,12,632.9
P001444,Auto,East,49,42.13,2019-09-15,2020-09-09,12,970.8
P001445,Home,Central,66,35.75,2022-03-02,2023-02-25,12,1136.73
P001446,Home,North,34,41.71,2020-02-25,2020-08-23,6,789.9
P001447,Health,East,40,38.42,2019-05-21,2020-05-15,12,1711.93
P001448,Home,North,80,59.8,2022-02-09,2023-02-04,12,1920.38
P001449,Auto,West,52,33.93,2020-02-29,2021-02-23,12,803.51
P001450,Home,Central,37,70.0,2022-04-15,2023-04-10,12,2046.48
P001451,Life,South,57,61.28,2020-03-18,2021-03-13,12,735.42
P001452,Health,East,36,50.31,2020-04-22,2021-04-17,12,2596.13
P001453,Home,South,21,50.0,2020-11-03,2021-10-29,12,1583.14
P001454,Auto,North,65,41.64,2019-10-30,2020-10-24,12,972.47
P001455,Health,South,28,54.05,2022-05-05,2022-11-01,6,1267.65
P001456,Auto,South,81,66.32,2019-01-06,2020-01-01,12,1319.59
P001457,Home,West,37,39.45,2020-07-21,2021-07-16,12,1168.02
P001458,Home,West,76,27.0,2019-10-24,2020-10-18,12,1085.42
P001459,Auto,Central,24,60.55,2019-09-24,2020-03-22,6,610.39
P001460,Auto,North,60,54.87,2022-01-11,2023-01-06,12,1163.76
P001461,Auto,West,52,33.2,2020-05-28,2021-05-23,12,835.19
P001462,Home,West,57,39.0,2019-12-24,2020-12-18,12,1250.78
P001463,Health,Central,59,37.11,2019-08-14,2020-02-10,6,1151.4
P001464,Auto,East,37,39.13,2022-09-15,2023-09-10,12,811.35
P001465,Life,Central,25,45.14,2019-02-22,2020-02-17,12,691.63
P001466,Auto,South,44,46.0,2019-09-27,2020-03-25,6,471.97
P001467,Home,South,48,40.24,2019-01-31,2020-01-26,12,1120.42
P001468,Auto,West,37,38.63,2021-01-03,2021-12-29,12,760.39
P001469,Health,West,49,46.57,2020-05-02,2021-04-27,12,2407.56
P001470,Life,Central,49,52.52,2022-04-20,2023-04-15,12,652.9
