fund_id,fund_name,investor_class,document_filename,fund_size_millions,vintage_year,investment_focus,target_return,fund_term_years,investment_period_years,investor_description,commitment_range,min_holding_period_months,redemption_notice_days,min_redemption_percentage,max_annual_redemption_percentage,quarterly_gate_percentage,early_redemption_fee_percentage,mid_redemption_fee_percentage,late_redemption_fee_percentage,processing_days,valuation_threshold,capital_call_notice_days,redemption_windows,general_partner,fund_status
FUND027,Real Estate Opportunity Fund 27,ClassB,FUND027_ClassB.txt,500,2021,commercial real estate and real estate technology,12-16%,10,4,accredited investors and smaller institutional investors,"$2,500,000 to $10,000,000",36,45,25,25,7,2.5,1.5,0.5,21,2000000,15,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND027,Real Estate Opportunity Fund 27,Institutional,FUND027_Institutional.txt,500,2021,commercial real estate and real estate technology,12-16%,10,3,"large institutional investors, pension funds, and endowments","$10,000,000 to $50,000,000",24,45,20,30,10,2,1,0,14,5000000,20,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND028,Infrastructure Development Fund 28,ClassA,FUND028_ClassA.txt,600,2020,"transportation, utilities, and digital infrastructure",10-15%,10,5,retail and smaller institutional investors,"$250,000 to $2,500,000",36,105,30,20,5,3,2,1,30,1000000,10,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND028,Infrastructure Development Fund 28,ClassB,FUND028_ClassB.txt,600,2020,"transportation, utilities, and digital infrastructure",10-15%,10,4,accredited investors and smaller institutional investors,"$2,500,000 to $10,000,000",42,75,20,25,7,2.5,1.5,0.5,21,2000000,15,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND028,Infrastructure Development Fund 28,Institutional,FUND028_Institutional.txt,600,2020,"transportation, utilities, and digital infrastructure",10-15%,10,3,"large institutional investors, pension funds, and endowments","$10,000,000 to $50,000,000",24,15,20,30,10,2,1,0,14,5000000,20,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND029,Financial Services Fund 29,ClassA,FUND029_ClassA.txt,275,2022,"fintech, insurance, and financial services",15-21%,10,5,retail and smaller institutional investors,"$250,000 to $2,500,000",48,90,20,20,5,3,2,1,30,1000000,10,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND029,Financial Services Fund 29,ClassB,FUND029_ClassB.txt,275,2022,"fintech, insurance, and financial services",15-21%,10,4,accredited investors and smaller institutional investors,"$2,500,000 to $10,000,000",33,75,20,25,7,2.5,1.5,0.5,21,2000000,15,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND029,Financial Services Fund 29,Institutional,FUND029_Institutional.txt,275,2022,"fintech, insurance, and financial services",15-21%,10,3,"large institutional investors, pension funds, and endowments","$10,000,000 to $50,000,000",30,15,10,30,10,2,1,0,14,5000000,20,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND030,Global Opportunities Fund 30,ClassA,FUND030_ClassA.txt,450,2021,international markets and cross-border investments,18-24%,10,5,retail and smaller institutional investors,"$250,000 to $2,500,000",36,75,25,20,5,3,2,1,30,1000000,10,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND030,Global Opportunities Fund 30,ClassB,FUND030_ClassB.txt,450,2021,international markets and cross-border investments,18-24%,10,4,accredited investors and smaller institutional investors,"$2,500,000 to $10,000,000",36,75,20,25,7,2.5,1.5,0.5,21,2000000,15,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND030,Global Opportunities Fund 30,Institutional,FUND030_Institutional.txt,450,2021,international markets and cross-border investments,18-24%,10,3,"large institutional investors, pension funds, and endowments","$10,000,000 to $50,000,000",36,30,15,30,10,2,1,0,14,5000000,20,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
