Ticket_ID,Created_Date,Priority,Category,Resolution_Time_Hours,Customer_Satisfaction,Agent_ID
TKT_10376,2024-11-27,High,Feature Request,1.6,4.5,Agent_06
TKT_10377,2024-12-19,Medium,Feature Request,42.6,3.0,Agent_04
TKT_10378,2024-10-06,Low,Feature Request,150.4,3.7,Agent_05
TKT_10379,2024-12-30,Low,Account Access,59.4,3.5,Agent_02
TKT_10380,2024-12-19,Low,Bug Report,175.6,3.4,Agent_01
TKT_10381,2024-11-30,High,Bug Report,3.1,3.7,Agent_02
TKT_10382,2024-10-03,High,Account Access,3.4,4.1,Agent_04
TKT_10383,2024-12-14,High,Feature Request,2.7,3.6,Agent_06
TKT_10384,2024-10-03,Medium,Account Access,18.1,4.1,Agent_03
TKT_10385,2024-11-10,Medium,Feature Request,10.8,4.0,Agent_02
TKT_10386,2024-10-22,High,Account Access,1.9,3.6,Agent_03
TKT_10387,2024-11-09,Low,Feature Request,60.2,4.1,Agent_03
TKT_10388,2024-10-24,Low,Technical Issue,99.6,3.9,Agent_01
TKT_10389,2024-10-19,Medium,Feature Request,27.7,3.6,Agent_05
TKT_10390,2024-10-16,High,Technical Issue,5.8,3.1,Agent_04
TKT_10391,2024-12-03,Low,Bug Report,146.1,3.1,Agent_07
TKT_10392,2024-11-10,Low,Feature Request,45.5,4.3,Agent_07
TKT_10393,2024-12-21,High,Billing Question,2.2,4.3,Agent_05
TKT_10394,2024-10-13,Low,Billing Question,46.8,4.3,Agent_03
TKT_10395,2024-10-11,High,Bug Report,3.6,3.3,Agent_03
TKT_10396,2024-11-01,Medium,Bug Report,13.4,4.6,Agent_08
TKT_10397,2024-12-19,Low,Account Access,34.9,4.6,Agent_03
TKT_10398,2024-12-01,Low,Account Access,119.1,3.4,Agent_05
TKT_10399,2024-11-14,Low,Billing Question,31.4,4.9,Agent_05
TKT_10400,2024-12-12,Medium,Technical Issue,20.4,3.5,Agent_02
